Dis,Ct,St,Ct Wk,Ct Fi,,Opposition,Ground,Start Date
0,0,0,0,0,,ODI v West Indies,Multan,13-Nov-90
4,4,0,4,0,,ODI v West Indies,Sharjah,17-Oct-91
0,0,0,0,0,,ODI v India,Sharjah,18-Oct-91
0,0,0,0,0,,ODI v West Indies,Sharjah,21-Oct-91
1,1,0,1,0,,ODI v India,Sharjah,23-Oct-91
1,1,0,1,0,,ODI v India,Sharjah,25-Oct-91
0,0,0,0,0,,ODI v West Indies,Karachi,20-Nov-91
0,0,0,0,0,,ODI v West Indies,Lahore,22-Nov-91
2,2,0,2,0,,ODI v West Indies,Faisalabad,24-Nov-91
1,1,0,1,0,,ODI v Sri Lanka,Sargodha,10-Jan-92
0,0,0,0,0,,ODI v Sri Lanka,Karachi,13-Jan-92
2,2,0,2,0,,ODI v Sri Lanka,Hyderabad (Sind),15-Jan-92
2,1,1,1,0,,ODI v Sri Lanka,Multan,17-Jan-92
1,0,1,0,0,,ODI v Sri Lanka,Rawalpindi,19-Jan-92
0,0,0,0,0,,ODI v West Indies,Melbourne,23-Feb-92
0,0,0,0,0,,ODI v Zimbabwe,Hobart,27-Feb-92
1,1,0,1,0,,ODI v England,Adelaide,01-Mar-92
2,2,0,2,0,,ODI v India,Sydney,04-Mar-92
2,2,0,2,0,,ODI v South Africa,Brisbane,08-Mar-92
2,2,0,2,0,,ODI v Australia,Perth,11-Mar-92
1,0,1,0,0,,ODI v Sri Lanka,Perth,15-Mar-92
1,0,1,0,0,,ODI v New Zealand,Christchurch,18-Mar-92
2,1,1,1,0,,ODI v New Zealand,Auckland,21-Mar-92
3,3,0,3,0,,ODI v England,Melbourne,25-Mar-92
2,2,0,2,0,,ODI v England,Lord's,20-May-92
1,0,1,0,0,,ODI v England,The Oval,22-May-92
1,1,0,1,0,,Test v England,Lord's,18-Jun-92
3,2,1,2,0,,ODI v England,Lord's,22-Aug-92
2,1,1,1,0,,ODI v England,Manchester,24-Aug-92
1,1,0,1,0,,ODI v New Zealand,Port Elizabeth,13-Dec-94
2,2,0,2,0,,ODI v Zimbabwe,Harare,25-Feb-95
5,5,0,5,0,,ODI v Zimbabwe,Harare,26-Feb-95
3,3,0,3,0,,ODI v India,Sharjah,07-Apr-95
2,2,0,2,0,,ODI v Bangladesh,Sharjah,08-Apr-95
0,0,0,0,0,,ODI v Sri Lanka,Gujranwala,29-Sep-95
1,0,1,0,0,,ODI v Sri Lanka,Faisalabad,01-Oct-95
0,0,0,0,0,,ODI v Sri Lanka,Rawalpindi,03-Oct-95
1,1,0,1,0,,ODI v Sri Lanka,Sharjah,12-Oct-95
4,1,3,1,0,,ODI v West Indies,Sharjah,13-Oct-95
